food_item,weather,day_time,price
BBQ Platter,Sunny,Dinner,427
Steak,Sunny,Dinner,386
Soup,Sunny,Dinner,110
Tomato Soup,Sunny,Dinner,121
Chicken Corn Soup,Sunny,Dinner,142
Hot & Sour Soup,Sunny,Dinner,131
Cold Coffee,Sunny,Lunch,119
Coffee,Sunny,Breakfast,66
Cappuccino,Sunny,Breakfast,113
Latte,Sunny,Breakfast,117
Espresso,Sunny,Breakfast,93
Tea,Sunny,Breakfast,46
Milk Tea,Sunny,Dinner,56
Green Tea,Sunny,Breakfast,60
Hot Chocolate,Sunny,Breakfast,124
Lemonade,Sunny,Lunch,91
Orange Juice,Sunny,Breakfast,90
Mango Juice,Sunny,Lunch,106
Apple Juice,Sunny,Lunch,104
Watermelon Juice,Sunny,Lunch,92
Milkshake,Sunny,Dinner,146
Chocolate Milkshake,Sunny,Dinner,160
Vanilla Milkshake,Sunny,Dinner,160
Faluda,Sunny,Dinner,154
Ice Cream,Sunny,Dinner,102
Brownie,Sunny,Dinner,136
Cheesecake,Sunny,Dinner,185
Chocolate Cake,Sunny,Dinner,173
Red Velvet Cake,Sunny,Dinner,190
Donut,Sunny,Breakfast,70
Muffin,Sunny,Breakfast,80
Paratha & Egg,Rainy,Breakfast,86
French Toast,Rainy,Breakfast,121
Pancakes,Rainy,Breakfast,148
Waffles,Rainy,Breakfast,157
Omelette,Rainy,Breakfast,99
Scrambled Eggs,Rainy,Breakfast,104
Boiled Egg Set,Rainy,Breakfast,78
Porridge,Rainy,Breakfast,96
Fruit Bowl,Rainy,Breakfast,132
Yogurt Parfait,Rainy,Breakfast,131
Toast & Jam,Rainy,Breakfast,65
Butter Toast,Rainy,Breakfast,60
Croissant,Rainy,Breakfast,96
Breakfast Burrito,Rainy,Breakfast,161
Hash Browns,Rainy,Breakfast,85
Samosa,Rainy,Breakfast,47
Singara,Rainy,Breakfast,30
Vegetable Roll,Rainy,Breakfast,52
Chicken Sandwich,Rainy,Breakfast,145
Club Sandwich,Rainy,Lunch,166
Grilled Cheese Sandwich,Rainy,Lunch,129
Chicken Burger,Rainy,Lunch,161
Beef Burger,Rainy,Lunch,192
Veg Burger,Rainy,Lunch,141
Chicken Shawarma,Rainy,Lunch,172
Beef Shawarma,Rainy,Lunch,190
Chicken Wrap,Rainy,Lunch,162
Caesar Salad,Rainy,Lunch,180
Greek Salad,Rainy,Lunch,188
Chicken Caesar Salad,Rainy,Lunch,225
Fried Rice,Rainy,Lunch,194
Chicken Fried Rice,Rainy,Lunch,224
Egg Fried Rice,Rainy,Lunch,185
Vegetable Fried Rice,Rainy,Lunch,172
Noodles,Rainy,Lunch,174
Chicken Noodles,Rainy,Lunch,203
Vegetable Noodles,Rainy,Dinner,160
Pasta Alfredo,Rainy,Lunch,228
Spicy Pasta,Rainy,Lunch,221
Mac & Cheese,Rainy,Lunch,206
Chicken Pizza,Rainy,Dinner,271
Beef Pizza,Rainy,Dinner,309
Veg Pizza,Rainy,Dinner,247
Margherita Pizza,Rainy,Dinner,252
BBQ Chicken Pizza,Rainy,Dinner,313
Beef Biryani,Rainy,Dinner,235
Chicken Biryani,Rainy,Dinner,220
Kacchi Biryani,Rainy,Dinner,291
Tehari,Rainy,Dinner,184
Khichuri,Rainy,Dinner,171
Mutton Curry,Rainy,Dinner,281
Chicken Curry,Rainy,Dinner,206
Beef Curry,Rainy,Dinner,226
Fish Curry,Rainy,Dinner,201
Dal,Rainy,Dinner,110
Mixed Vegetables,Rainy,Dinner,122
Butter Naan,Rainy,Dinner,54
Garlic Naan,Rainy,Dinner,58
Chapati,Rainy,Lunch,30
Grilled Chicken,Rainy,Dinner,261
Tandoori Chicken,Rainy,Dinner,271
Chicken Wings,Rainy,Dinner,230
BBQ Platter,Rainy,Dinner,437
Steak,Rainy,Dinner,393
Soup,Rainy,Dinner,116
Tomato Soup,Rainy,Lunch,120
Chicken Corn Soup,Rainy,Dinner,151
Hot & Sour Soup,Rainy,Dinner,135
Cold Coffee,Rainy,Lunch,131
Coffee,Rainy,Breakfast,78
Cappuccino,Rainy,Breakfast,119
Latte,Rainy,Breakfast,129
Espresso,Rainy,Dinner,105
Tea,Rainy,Breakfast,45
Milk Tea,Rainy,Breakfast,67
Green Tea,Rainy,Breakfast,67
Hot Chocolate,Rainy,Breakfast,139
Lemonade,Rainy,Lunch,92
Orange Juice,Rainy,Breakfast,107
Mango Juice,Rainy,Lunch,112
Apple Juice,Rainy,Lunch,110
Watermelon Juice,Rainy,Lunch,105
Milkshake,Rainy,Dinner,162
Chocolate Milkshake,Rainy,Dinner,161
Vanilla Milkshake,Rainy,Dinner,156
Faluda,Rainy,Dinner,163
Ice Cream,Rainy,Dinner,105
Brownie,Rainy,Dinner,130
Cheesecake,Rainy,Dinner,194
Chocolate Cake,Rainy,Dinner,180
Red Velvet Cake,Rainy,Dinner,185
Donut,Rainy,Breakfast,70
Muffin,Rainy,Breakfast,81
Paratha & Egg,Cloudy,Breakfast,79
French Toast,Cloudy,Breakfast,114
Pancakes,Cloudy,Breakfast,141
Waffles,Cloudy,Breakfast,146
Omelette,Cloudy,Breakfast,95
Scrambled Eggs,Cloudy,Breakfast,101
Boiled Egg Set,Cloudy,Breakfast,66
Porridge,Cloudy,Breakfast,88
Fruit Bowl,Cloudy,Breakfast,123
Yogurt Parfait,Cloudy,Breakfast,130
Toast & Jam,Cloudy,Breakfast,59
Butter Toast,Cloudy,Breakfast,61
Croissant,Cloudy,Breakfast,87
Breakfast Burrito,Cloudy,Breakfast,163
Hash Browns,Cloudy,Lunch,76
Samosa,Cloudy,Breakfast,25
Singara,Cloudy,Breakfast,28
Vegetable Roll,Cloudy,Breakfast,42
Chicken Sandwich,Cloudy,Lunch,154
Club Sandwich,Cloudy,Lunch,162
Grilled Cheese Sandwich,Cloudy,Lunch,129
Chicken Burger,Cloudy,Lunch,163
Beef Burger,Cloudy,Lunch,193
Veg Burger,Cloudy,Lunch,132
Chicken Shawarma,Cloudy,Lunch,170
Beef Shawarma,Cloudy,Lunch,184
Chicken Wrap,Cloudy,Lunch,156
Caesar Salad,Cloudy,Lunch,171
Greek Salad,Cloudy,Dinner,198
Chicken Caesar Salad,Cloudy,Lunch,221
Fried Rice,Cloudy,Lunch,192
Chicken Fried Rice,Cloudy,Lunch,219
Egg Fried Rice,Cloudy,Lunch,179
Vegetable Fried Rice,Cloudy,Lunch,163
Noodles,Cloudy,Lunch,167
Chicken Noodles,Cloudy,Lunch,198
Vegetable Noodles,Cloudy,Lunch,163
Pasta Alfredo,Cloudy,Lunch,224
Spicy Pasta,Cloudy,Lunch,217
Mac & Cheese,Cloudy,Lunch,208
Chicken Pizza,Cloudy,Dinner,274
Beef Pizza,Cloudy,Lunch,303
Veg Pizza,Cloudy,Dinner,248
Margherita Pizza,Cloudy,Dinner,248
BBQ Chicken Pizza,Cloudy,Dinner,308
Beef Biryani,Cloudy,Dinner,232
Chicken Biryani,Cloudy,Dinner,218
Kacchi Biryani,Cloudy,Dinner,295
Tehari,Cloudy,Dinner,183
Khichuri,Cloudy,Dinner,154
Mutton Curry,Cloudy,Dinner,278
Chicken Curry,Cloudy,Dinner,196
Beef Curry,Cloudy,Dinner,218
Fish Curry,Cloudy,Dinner,198
Dal,Cloudy,Dinner,105
Mixed Vegetables,Cloudy,Dinner,125
Butter Naan,Cloudy,Dinner,42
Garlic Naan,Cloudy,Dinner,56
Chapati,Cloudy,Dinner,37
Grilled Chicken,Cloudy,Dinner,258
Tandoori Chicken,Cloudy,Dinner,269
Chicken Wings,Cloudy,Dinner,231
BBQ Platter,Cloudy,Breakfast,420
Steak,Cloudy,Dinner,388
Soup,Cloudy,Dinner,110
Tomato Soup,Cloudy,Dinner,125
Chicken Corn Soup,Cloudy,Dinner,139
Hot & Sour Soup,Cloudy,Dinner,133
Cold Coffee,Cloudy,Lunch,132
Coffee,Cloudy,Breakfast,66
Cappuccino,Cloudy,Breakfast,111
Latte,Cloudy,Breakfast,116
Espresso,Cloudy,Breakfast,93
Tea,Cloudy,Breakfast,40
Milk Tea,Cloudy,Breakfast,52
Green Tea,Cloudy,Breakfast,68
Hot Chocolate,Cloudy,Breakfast,126
Lemonade,Cloudy,Lunch,92
Orange Juice,Cloudy,Breakfast,99
Mango Juice,Cloudy,Lunch,114
Apple Juice,Cloudy,Lunch,111
Watermelon Juice,Cloudy,Lunch,96
Milkshake,Cloudy,Dinner,152
Chocolate Milkshake,Cloudy,Dinner,166
Vanilla Milkshake,Cloudy,Dinner,162
Faluda,Cloudy,Dinner,159
Ice Cream,Cloudy,Dinner,99
Brownie,Cloudy,Dinner,136
Cheesecake,Cloudy,Dinner,198
Chocolate Cake,Cloudy,Dinner,175
Red Velvet Cake,Cloudy,Dinner,186
Donut,Cloudy,Breakfast,63
Muffin,Cloudy,Breakfast,75
Paratha & Egg,Cold,Breakfast,88
French Toast,Cold,Breakfast,113
Pancakes,Cold,Breakfast,146
Waffles,Cold,Breakfast,162
Omelette,Cold,Breakfast,95
Scrambled Eggs,Cold,Breakfast,99
Boiled Egg Set,Cold,Breakfast,83
Porridge,Cold,Breakfast,94
Fruit Bowl,Cold,Breakfast,124
Yogurt Parfait,Cold,Breakfast,144
Toast & Jam,Cold,Breakfast,63
Butter Toast,Cold,Breakfast,61
Croissant,Cold,Breakfast,102
Breakfast Burrito,Cold,Breakfast,166
Hash Browns,Cold,Breakfast,90
Samosa,Cold,Breakfast,36
Singara,Cold,Breakfast,23
Vegetable Roll,Cold,Breakfast,43
Chicken Sandwich,Cold,Lunch,163
Club Sandwich,Cold,Lunch,175
Grilled Cheese Sandwich,Cold,Lunch,137
Chicken Burger,Cold,Lunch,164
Beef Burger,Cold,Lunch,197
Veg Burger,Cold,Lunch,138
Chicken Shawarma,Cold,Breakfast,167
Beef Shawarma,Cold,Lunch,194
Chicken Wrap,Cold,Lunch,160
Caesar Salad,Cold,Lunch,183
Greek Salad,Cold,Lunch,198
Chicken Caesar Salad,Cold,Lunch,230
Fried Rice,Cold,Lunch,189
Chicken Fried Rice,Cold,Lunch,219
Egg Fried Rice,Cold,Lunch,190
Vegetable Fried Rice,Cold,Lunch,179
Noodles,Cold,Lunch,172
Chicken Noodles,Cold,Lunch,202
Vegetable Noodles,Cold,Lunch,165
Pasta Alfredo,Cold,Breakfast,234
Spicy Pasta,Cold,Lunch,229
Mac & Cheese,Cold,Lunch,215
Chicken Pizza,Cold,Dinner,278
Beef Pizza,Cold,Dinner,303
Veg Pizza,Cold,Dinner,247
Margherita Pizza,Cold,Dinner,259
BBQ Chicken Pizza,Cold,Dinner,313
Beef Biryani,Cold,Dinner,236
Chicken Biryani,Cold,Dinner,216
Kacchi Biryani,Cold,Dinner,298
Tehari,Cold,Dinner,195
Khichuri,Cold,Dinner,178
Mutton Curry,Cold,Dinner,278
Chicken Curry,Cold,Dinner,209
Beef Curry,Cold,Dinner,234
Fish Curry,Cold,Dinner,200
Dal,Cold,Dinner,110
Mixed Vegetables,Cold,Dinner,128
Butter Naan,Cold,Dinner,50
Garlic Naan,Cold,Dinner,70
Chapati,Cold,Dinner,43
Grilled Chicken,Cold,Dinner,254
Tandoori Chicken,Cold,Lunch,272
Chicken Wings,Cold,Dinner,239
BBQ Platter,Cold,Dinner,444
Steak,Cold,Dinner,403
Soup,Cold,Dinner,123
Tomato Soup,Cold,Dinner,138
Chicken Corn Soup,Cold,Dinner,149
Hot & Sour Soup,Cold,Dinner,151
Cold Coffee,Cold,Lunch,134
Coffee,Cold,Breakfast,82
Cappuccino,Cold,Breakfast,118
Latte,Cold,Breakfast,139
Espresso,Cold,Breakfast,109
Tea,Cold,Breakfast,61
Milk Tea,Cold,Breakfast,68
Green Tea,Cold,Breakfast,81
Hot Chocolate,Cold,Breakfast,143
Lemonade,Cold,Lunch,88
Orange Juice,Cold,Breakfast,110
Mango Juice,Cold,Lunch,123
Apple Juice,Cold,Dinner,117
Watermelon Juice,Cold,Breakfast,98
Milkshake,Cold,Dinner,163
Chocolate Milkshake,Cold,Dinner,173
Vanilla Milkshake,Cold,Dinner,159
Faluda,Cold,Dinner,175
Ice Cream,Cold,Dinner,108
Brownie,Cold,Dinner,145
Cheesecake,Cold,Dinner,196
Chocolate Cake,Cold,Dinner,173
Red Velvet Cake,Cold,Dinner,190
Donut,Cold,Breakfast,78
Muffin,Cold,Breakfast,80
Paratha & Egg,Hot,Breakfast,72
French Toast,Hot,Breakfast,103
Pancakes,Hot,Breakfast,141
Waffles,Hot,Breakfast,144
Omelette,Hot,Breakfast,91
Scrambled Eggs,Hot,Breakfast,97
Boiled Egg Set,Hot,Breakfast,64
Porridge,Hot,Breakfast,86
Fruit Bowl,Hot,Breakfast,122
Yogurt Parfait,Hot,Breakfast,132
Toast & Jam,Hot,Breakfast,57
Butter Toast,Hot,Breakfast,56
Croissant,Hot,Breakfast,91
Breakfast Burrito,Hot,Breakfast,150
Hash Browns,Hot,Dinner,76
Samosa,Hot,Breakfast,17
Singara,Hot,Breakfast,15
Vegetable Roll,Hot,Breakfast,25
Chicken Sandwich,Hot,Lunch,140
Club Sandwich,Hot,Lunch,161
Grilled Cheese Sandwich,Hot,Lunch,125
Chicken Burger,Hot,Dinner,157
Beef Burger,Hot,Lunch,181
Veg Burger,Hot,Lunch,134
Chicken Shawarma,Hot,Lunch,162
Beef Shawarma,Hot,Lunch,172
Chicken Wrap,Hot,Lunch,155
Caesar Salad,Hot,Lunch,168
Greek Salad,Hot,Lunch,177
Chicken Caesar Salad,Hot,Lunch,211
Fried Rice,Hot,Lunch,183
Chicken Fried Rice,Hot,Lunch,210
Egg Fried Rice,Hot,Lunch,176
Vegetable Fried Rice,Hot,Lunch,163
Noodles,Hot,Lunch,156
Chicken Noodles,Hot,Lunch,188
Vegetable Noodles,Hot,Lunch,152
Pasta Alfredo,Hot,Lunch,218
Spicy Pasta,Hot,Lunch,212
Mac & Cheese,Hot,Lunch,198
Chicken Pizza,Hot,Dinner,265
Beef Pizza,Hot,Dinner,299
Veg Pizza,Hot,Dinner,238
Margherita Pizza,Hot,Dinner,243
BBQ Chicken Pizza,Hot,Dinner,304
Beef Biryani,Hot,Dinner,222
Chicken Biryani,Hot,Dinner,202
Kacchi Biryani,Hot,Dinner,291
Tehari,Hot,Dinner,182
Khichuri,Hot,Dinner,154
Mutton Curry,Hot,Dinner,263
Chicken Curry,Hot,Dinner,191
Beef Curry,Hot,Dinner,220
Fish Curry,Hot,Dinner,194
Dal,Hot,Lunch,93
Mixed Vegetables,Hot,Dinner,110
Butter Naan,Hot,Dinner,43
Garlic Naan,Hot,Dinner,57
Chapati,Hot,Dinner,23
Grilled Chicken,Hot,Dinner,251
Tandoori Chicken,Hot,Dinner,270
Chicken Wings,Hot,Dinner,229
BBQ Platter,Hot,Dinner,426
Steak,Hot,Dinner,391
Soup,Hot,Dinner,106
Tomato Soup,Hot,Dinner,120
Chicken Corn Soup,Hot,Dinner,134
Hot & Sour Soup,Hot,Dinner,131
Cold Coffee,Hot,Lunch,130
Coffee,Hot,Breakfast,65
Cappuccino,Hot,Breakfast,105
Latte,Hot,Breakfast,118
Espresso,Hot,Breakfast,95
Tea,Hot,Breakfast,33
Milk Tea,Hot,Breakfast,50
Green Tea,Hot,Breakfast,53
Hot Chocolate,Hot,Breakfast,129
Lemonade,Hot,Lunch,88
Orange Juice,Hot,Breakfast,95
Mango Juice,Hot,Lunch,107
Apple Juice,Hot,Lunch,109
Watermelon Juice,Hot,Lunch,92
Milkshake,Hot,Dinner,158
Chocolate Milkshake,Hot,Dinner,162
Vanilla Milkshake,Hot,Dinner,159
Faluda,Hot,Dinner,166
Ice Cream,Hot,Dinner,96
Brownie,Hot,Dinner,125
Cheesecake,Hot,Dinner,186
Chocolate Cake,Hot,Dinner,165
Red Velvet Cake,Hot,Dinner,187
Donut,Hot,Breakfast,59
Muffin,Hot,Breakfast,76
Paratha & Egg,Sunny,Breakfast,86
French Toast,Sunny,Breakfast,108
Pancakes,Sunny,Breakfast,142
Waffles,Sunny,Breakfast,149
Omelette,Sunny,Breakfast,90
Scrambled Eggs,Sunny,Breakfast,96
Boiled Egg Set,Sunny,Breakfast,73
Porridge,Sunny,Breakfast,85
Fruit Bowl,Sunny,Breakfast,114
Yogurt Parfait,Sunny,Breakfast,135
Toast & Jam,Sunny,Breakfast,58
Butter Toast,Sunny,Breakfast,53
Croissant,Sunny,Breakfast,96
Breakfast Burrito,Sunny,Breakfast,157
Hash Browns,Sunny,Breakfast,80
Samosa,Sunny,Breakfast,25
Singara,Sunny,Dinner,36
Vegetable Roll,Sunny,Breakfast,34
Chicken Sandwich,Sunny,Lunch,148
Club Sandwich,Sunny,Lunch,154
Grilled Cheese Sandwich,Sunny,Breakfast,118
Chicken Burger,Sunny,Lunch,150
Beef Burger,Sunny,Dinner,191
Veg Burger,Sunny,Lunch,135
Chicken Shawarma,Sunny,Lunch,162
Beef Shawarma,Sunny,Lunch,175
Chicken Wrap,Sunny,Lunch,151
Caesar Salad,Sunny,Lunch,180
Greek Salad,Sunny,Lunch,189
Chicken Caesar Salad,Sunny,Lunch,217
Fried Rice,Sunny,Lunch,186
Chicken Fried Rice,Sunny,Lunch,217
Egg Fried Rice,Sunny,Lunch,171
Vegetable Fried Rice,Sunny,Lunch,168
Noodles,Sunny,Lunch,170
Chicken Noodles,Sunny,Lunch,195
Vegetable Noodles,Sunny,Lunch,152
Pasta Alfredo,Sunny,Lunch,222
Spicy Pasta,Sunny,Lunch,219
Mac & Cheese,Sunny,Lunch,199
Chicken Pizza,Sunny,Dinner,270
Beef Pizza,Sunny,Dinner,305
Veg Pizza,Sunny,Dinner,235
Margherita Pizza,Sunny,Dinner,245
BBQ Chicken Pizza,Sunny,Dinner,316
Beef Biryani,Sunny,Dinner,227
Chicken Biryani,Sunny,Dinner,210
Kacchi Biryani,Sunny,Dinner,289
Tehari,Sunny,Dinner,178
Khichuri,Sunny,Dinner,157
Mutton Curry,Sunny,Breakfast,261
Chicken Curry,Sunny,Dinner,203
Beef Curry,Sunny,Dinner,225
Fish Curry,Sunny,Dinner,201
Dal,Sunny,Dinner,98
Mixed Vegetables,Sunny,Dinner,124
Butter Naan,Sunny,Dinner,50
Garlic Naan,Sunny,Dinner,51
Chapati,Sunny,Dinner,26
Grilled Chicken,Sunny,Dinner,253
Tandoori Chicken,Sunny,Dinner,268
Chicken Wings,Sunny,Dinner,226
BBQ Platter,Sunny,Dinner,432
Steak,Sunny,Dinner,384
Soup,Sunny,Lunch,110
Tomato Soup,Sunny,Dinner,115
Chicken Corn Soup,Sunny,Dinner,139
Hot & Sour Soup,Sunny,Dinner,136
Cold Coffee,Sunny,Lunch,123
Coffee,Sunny,Breakfast,74
Cappuccino,Sunny,Breakfast,109
Latte,Sunny,Breakfast,124
Espresso,Sunny,Breakfast,89
Tea,Sunny,Breakfast,41
Milk Tea,Sunny,Breakfast,54
Green Tea,Sunny,Breakfast,63
Hot Chocolate,Sunny,Breakfast,132
Lemonade,Sunny,Lunch,83
Orange Juice,Sunny,Breakfast,91
Mango Juice,Sunny,Lunch,104
Apple Juice,Sunny,Lunch,109
Watermelon Juice,Sunny,Lunch,96
Milkshake,Sunny,Dinner,147
Chocolate Milkshake,Sunny,Dinner,159
Vanilla Milkshake,Sunny,Dinner,151
Faluda,Sunny,Dinner,159
Ice Cream,Sunny,Dinner,104
Brownie,Sunny,Dinner,130
Cheesecake,Sunny,Dinner,193
Chocolate Cake,Sunny,Dinner,169
Red Velvet Cake,Sunny,Breakfast,181
Donut,Sunny,Breakfast,67
Muffin,Sunny,Breakfast,77
Paratha & Egg,Rainy,Breakfast,86
French Toast,Rainy,Breakfast,119
Pancakes,Rainy,Breakfast,142
Waffles,Rainy,Breakfast,161
Omelette,Rainy,Breakfast,99
Scrambled Eggs,Rainy,Breakfast,102
Boiled Egg Set,Rainy,Breakfast,80
Porridge,Rainy,Breakfast,93
Fruit Bowl,Rainy,Breakfast,128
Yogurt Parfait,Rainy,Breakfast,140
Toast & Jam,Rainy,Breakfast,62
Butter Toast,Rainy,Breakfast,63
Croissant,Rainy,Breakfast,95
Breakfast Burrito,Rainy,Breakfast,168
Hash Browns,Rainy,Breakfast,79
Samosa,Rainy,Breakfast,33
Singara,Rainy,Breakfast,34
Vegetable Roll,Rainy,Breakfast,48
Chicken Sandwich,Rainy,Lunch,160
Club Sandwich,Rainy,Lunch,162
Grilled Cheese Sandwich,Rainy,Lunch,130
Chicken Burger,Rainy,Lunch,162
Beef Burger,Rainy,Lunch,195
Veg Burger,Rainy,Lunch,144
Chicken Shawarma,Rainy,Lunch,176
Beef Shawarma,Rainy,Lunch,189
Chicken Wrap,Rainy,Lunch,157
Caesar Salad,Rainy,Lunch,177
Greek Salad,Rainy,Lunch,197
Chicken Caesar Salad,Rainy,Lunch,219
Fried Rice,Rainy,Lunch,192
Chicken Fried Rice,Rainy,Lunch,220
Egg Fried Rice,Rainy,Lunch,181
Vegetable Fried Rice,Rainy,Lunch,174
Noodles,Rainy,Lunch,173
Chicken Noodles,Rainy,Lunch,200
Vegetable Noodles,Rainy,Lunch,165
Pasta Alfredo,Rainy,Lunch,230
Spicy Pasta,Rainy,Lunch,215
Mac & Cheese,Rainy,Lunch,217
Chicken Pizza,Rainy,Dinner,274
Beef Pizza,Rainy,Dinner,312
Veg Pizza,Rainy,Dinner,242
Margherita Pizza,Rainy,Dinner,261
BBQ Chicken Pizza,Rainy,Dinner,313
Beef Biryani,Rainy,Dinner,240
Chicken Biryani,Rainy,Breakfast,209
Kacchi Biryani,Rainy,Dinner,292
Tehari,Rainy,Dinner,181
Khichuri,Rainy,Dinner,168
Mutton Curry,Rainy,Dinner,280
Chicken Curry,Rainy,Dinner,209
Beef Curry,Rainy,Dinner,227
Fish Curry,Rainy,Dinner,204
Dal,Rainy,Dinner,112
Mixed Vegetables,Rainy,Dinner,120
Butter Naan,Rainy,Dinner,55
Garlic Naan,Rainy,Dinner,57
Chapati,Rainy,Dinner,34
Grilled Chicken,Rainy,Dinner,260
Tandoori Chicken,Rainy,Dinner,282
Chicken Wings,Rainy,Dinner,234
BBQ Platter,Rainy,Dinner,435
Steak,Rainy,Dinner,391
Soup,Rainy,Dinner,124
Tomato Soup,Rainy,Dinner,130
Chicken Corn Soup,Rainy,Dinner,146
Hot & Sour Soup,Rainy,Dinner,142
Cold Coffee,Rainy,Lunch,132
Coffee,Rainy,Breakfast,81
Cappuccino,Rainy,Breakfast,115
Latte,Rainy,Breakfast,130
Espresso,Rainy,Breakfast,96
Tea,Rainy,Breakfast,47
Milk Tea,Rainy,Breakfast,63
Green Tea,Rainy,Lunch,70
Hot Chocolate,Rainy,Breakfast,132
Lemonade,Rainy,Lunch,91
Orange Juice,Rainy,Breakfast,106
Mango Juice,Rainy,Lunch,112
Apple Juice,Rainy,Lunch,110
Watermelon Juice,Rainy,Lunch,101
Milkshake,Rainy,Dinner,155
Chocolate Milkshake,Rainy,Dinner,162
Vanilla Milkshake,Rainy,Dinner,157
Faluda,Rainy,Dinner,170
Ice Cream,Rainy,Dinner,107
Brownie,Rainy,Dinner,134
Cheesecake,Rainy,Dinner,199
Chocolate Cake,Rainy,Dinner,170
Red Velvet Cake,Rainy,Dinner,191
Donut,Rainy,Breakfast,77
Muffin,Rainy,Breakfast,79
Paratha & Egg,Cloudy,Lunch,84
French Toast,Cloudy,Breakfast,115
Pancakes,Cloudy,Breakfast,141
Waffles,Cloudy,Breakfast,150
Omelette,Cloudy,Breakfast,90
Scrambled Eggs,Cloudy,Breakfast,103
Boiled Egg Set,Cloudy,Breakfast,75
Porridge,Cloudy,Breakfast,91
Fruit Bowl,Cloudy,Lunch,125
Yogurt Parfait,Cloudy,Breakfast,135
Toast & Jam,Cloudy,Breakfast,63
Butter Toast,Cloudy,Breakfast,61
Croissant,Cloudy,Breakfast,89
Breakfast Burrito,Cloudy,Breakfast,168
Hash Browns,Cloudy,Breakfast,76
Samosa,Cloudy,Breakfast,22
Singara,Cloudy,Dinner,38
Vegetable Roll,Cloudy,Breakfast,35
Chicken Sandwich,Cloudy,Lunch,156
Club Sandwich,Cloudy,Lunch,157
Grilled Cheese Sandwich,Cloudy,Lunch,121
Chicken Burger,Cloudy,Lunch,160
Beef Burger,Cloudy,Lunch,181
Veg Burger,Cloudy,Lunch,139
Chicken Shawarma,Cloudy,Lunch,169
Beef Shawarma,Cloudy,Lunch,184
Chicken Wrap,Cloudy,Breakfast,149
Caesar Salad,Cloudy,Lunch,180
Greek Salad,Cloudy,Lunch,181
Chicken Caesar Salad,Cloudy,Lunch,220
Fried Rice,Cloudy,Lunch,188
Chicken Fried Rice,Cloudy,Dinner,218
Egg Fried Rice,Cloudy,Lunch,174
Vegetable Fried Rice,Cloudy,Lunch,168
Noodles,Cloudy,Lunch,164
Chicken Noodles,Cloudy,Lunch,193
Vegetable Noodles,Cloudy,Lunch,153
Pasta Alfredo,Cloudy,Lunch,223
Spicy Pasta,Cloudy,Lunch,215
Mac & Cheese,Cloudy,Lunch,212
Chicken Pizza,Cloudy,Dinner,272
Beef Pizza,Cloudy,Dinner,296
Veg Pizza,Cloudy,Dinner,237
Margherita Pizza,Cloudy,Dinner,247
BBQ Chicken Pizza,Cloudy,Dinner,311
